,release_year,genres,total_positive
0,2010.0,Action,78428
1,2010.0,Adventure,54548
2,2010.0,Indie,38903
3,2010.0,Strategy,21347
4,2010.0,RPG,17806
5,2011.0,Action,653980
6,2011.0,Indie,625797
7,2011.0,RPG,592167
8,2011.0,Adventure,589100
9,2011.0,Strategy,60092
10,2012.0,Action,1453141
11,2012.0,Free To Play,1113198
12,2012.0,Indie,364301
13,2012.0,RPG,195724
14,2012.0,Simulation,177491
15,2013.0,Action,519684
16,2013.0,Indie,381274
17,2013.0,RPG,372726
18,2013.0,Adventure,295401
19,2013.0,Simulation,251669
20,2014.0,Action,602453
21,2014.0,Indie,515772
22,2014.0,Adventure,236175
23,2014.0,RPG,221520
24,2014.0,Strategy,184325
25,2015.0,Action,1666173
26,2015.0,Adventure,923185
27,2015.0,Indie,789268
28,2015.0,RPG,469314
29,2015.0,Simulation,230048
30,2016.0,Action,1140351
31,2016.0,Indie,1120666
32,2016.0,Simulation,848709
33,2016.0,Adventure,772607
34,2016.0,RPG,678866
35,2017.0,Action,1037187
36,2017.0,Adventure,873938
37,2017.0,Indie,764316
38,2017.0,Simulation,432161
39,2017.0,Strategy,366432
40,2018.0,Indie,1622880
41,2018.0,Action,1417968
42,2018.0,Adventure,1259202
43,2018.0,RPG,760948
44,2018.0,Casual,621841
45,2019.0,Action,1144748
46,2019.0,Indie,821265
47,2019.0,Adventure,628314
48,2019.0,Simulation,511595
49,2019.0,Casual,363145
50,2020.0,Action,1821707
51,2020.0,Indie,1546586
52,2020.0,Adventure,919759
53,2020.0,RPG,874635
54,2020.0,Simulation,545688
55,2021.0,Action,1037668
56,2021.0,Indie,989388
57,2021.0,Adventure,838891
58,2021.0,RPG,671705
59,2021.0,Simulation,472620
60,2022.0,Indie,884345
61,2022.0,Action,878836
62,2022.0,Adventure,722904
63,2022.0,Simulation,585939
64,2022.0,Strategy,422443
65,2023.0,Adventure,1063959
66,2023.0,Action,896370
67,2023.0,RPG,848488
68,2023.0,Strategy,553438
69,2023.0,Indie,514882
70,2024.0,Action,1669590
71,2024.0,Adventure,1218197
72,2024.0,Indie,1160754
73,2024.0,RPG,836796
74,2024.0,Simulation,734933
75,2025.0,Indie,36194
76,2025.0,Simulation,29796
77,2025.0,Racing,27154
78,2025.0,Action,10846
79,2025.0,RPG,7761
